iter	Passed	Remaining
0	11	1173
1	22	1126
2	38	1256
3	54	1315
4	72	1382
5	89	1406
6	103	1369
7	161	1858
8	191	1941
9	222	2003
10	251	2033
11	267	1961
12	326	2183
13	346	2128
14	381	2164
15	402	2113
16	421	2056
17	437	1992
18	453	1932
19	503	2014
20	522	1966
21	536	1902
22	549	1838
23	559	1773
24	573	1721
25	587	1672
26	599	1620
27	609	1567
28	622	1523
29	633	1479
30	641	1426
31	653	1388
32	664	1349
33	676	1312
34	690	1282
35	703	1251
36	715	1218
37	725	1183
38	737	1154
39	750	1125
40	762	1097
41	774	1069
42	787	1043
43	800	1018
44	812	993
45	823	966
46	832	938
47	842	912
48	853	888
49	866	866
50	881	846
51	894	825
52	908	805
53	920	784
54	935	765
55	948	745
56	959	723
57	971	703
58	983	683
59	995	663
60	1008	644
61	1019	624
62	1032	606
63	1043	587
64	1053	567
65	1066	549
66	1079	531
67	1090	513
68	1101	495
69	1116	478
70	1128	460
71	1141	443
72	1155	427
73	1166	409
74	1180	393
75	1192	376
76	1208	360
77	1223	345
78	1235	328
79	1248	312
80	1262	296
81	1274	279
82	1291	264
83	1301	247
84	1311	231
85	1322	215
86	1333	199
87	1343	183
88	1354	167
89	1364	151
90	1376	136
91	1388	120
92	1397	105
93	1409	89
94	1422	74
95	1433	59
96	1445	44
97	1456	29
98	1468	14
99	1480	0
